CVE-ID,DESCRIPTION,SEVERITY
['CVE-2020-27350']," `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   APT had several integer overflows and underflows while parsing .deb packages, aka GHSL-2020-168 GHSL-2020-169, in files apt-pkg/contrib/extracttar.cc, apt-pkg/deb/debfile.cc, and apt-pkg/contrib/arfile.cc. This issue affects: apt 1.2.32ubuntu0 versions prior to 1.2.32ubuntu0.2; 1.6.12ubuntu0 versions prior to 1.6.12ubuntu0.2; 2.0.2ubuntu0 versions prior to 2.0.2ubuntu0.2; 2.1.10ubuntu0 versions prior to 2.1.10ubuntu0.1; ## Remediation Upgrade `Debian:9` `apt` to version 1.4.11 or higher.",medium
['CVE-2011-3374']," `apt` package.   It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack. ## Remediation There is no fixed version for `Debian:9` `apt`.",low
['CVE-2020-3810'], `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   Missing input validation in the ar/tar implementations of APT before version 2.1.2 could result in denial of service when processing specially crafted deb files. ## Remediation Upgrade `Debian:9` `apt` to version 1.4.10 or higher.,medium
['CVE-2020-27350']," `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   APT had several integer overflows and underflows while parsing .deb packages, aka GHSL-2020-168 GHSL-2020-169, in files apt-pkg/contrib/extracttar.cc, apt-pkg/deb/debfile.cc, and apt-pkg/contrib/arfile.cc. This issue affects: apt 1.2.32ubuntu0 versions prior to 1.2.32ubuntu0.2; 1.6.12ubuntu0 versions prior to 1.6.12ubuntu0.2; 2.0.2ubuntu0 versions prior to 2.0.2ubuntu0.2; 2.1.10ubuntu0 versions prior to 2.1.10ubuntu0.1; ## Remediation Upgrade `Debian:9` `apt` to version 1.4.11 or higher.",medium
['CVE-2011-3374']," `apt` package.   It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack. ## Remediation There is no fixed version for `Debian:9` `apt`.",low
['CVE-2020-3810'], `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   Missing input validation in the ar/tar implementations of APT before version 2.1.2 could result in denial of service when processing specially crafted deb files. ## Remediation Upgrade `Debian:9` `apt` to version 1.4.10 or higher.,medium
['CVE-2021-26720']," `avahi` package.   avahi-daemon-check-dns.sh in the Debian avahi package through 0.8-4 is executed as root via /etc/network/if-up.d/avahi-daemon, and allows a local attacker to cause a denial of service or create arbitrary empty files via a symlink attack on files under /run/avahi-daemon. NOTE: this only affects the packaging for Debian GNU/Linux , not the upstream Avahi product. ## Remediation There is no fixed version for `Debian:9` `avahi`.",high
['CVE-2021-3468']," `avahi` package.   A flaw was found in avahi in versions 0.6 up to 0.8. The event used to signal the termination of the client connection on the avahi Unix socket is not correctly handled in the client_work function, allowing a local attacker to trigger an infinite loop. The highest threat from this vulnerability is to the availability of the avahi service, which becomes unresponsive after this flaw is triggered. ## Remediation There is no fixed version for `Debian:9` `avahi`.",medium
['CVE-2017-6519']," `avahi` package.   avahi-daemon in Avahi through 0.6.32 and 0.7 inadvertently responds to IPv6 unicast queries with source addresses that are not on-link, which allows remote attackers to cause a denial of service  and may cause information leakage by obtaining potentially sensitive  information from the responding device via port-5353 UDP packets.  NOTE: this may overlap CVE-2015-2809. ## Remediation There is no fixed version for `Debian:9` `avahi`.",low
['CVE-2021-26720']," `avahi` package.   avahi-daemon-check-dns.sh in the Debian avahi package through 0.8-4 is executed as root via /etc/network/if-up.d/avahi-daemon, and allows a local attacker to cause a denial of service or create arbitrary empty files via a symlink attack on files under /run/avahi-daemon. NOTE: this only affects the packaging for Debian GNU/Linux , not the upstream Avahi product. ## Remediation There is no fixed version for `Debian:9` `avahi`.",high
['CVE-2021-3468']," `avahi` package.   A flaw was found in avahi in versions 0.6 up to 0.8. The event used to signal the termination of the client connection on the avahi Unix socket is not correctly handled in the client_work function, allowing a local attacker to trigger an infinite loop. The highest threat from this vulnerability is to the availability of the avahi service, which becomes unresponsive after this flaw is triggered. ## Remediation There is no fixed version for `Debian:9` `avahi`.",medium
['CVE-2017-6519']," `avahi` package.   avahi-daemon in Avahi through 0.6.32 and 0.7 inadvertently responds to IPv6 unicast queries with source addresses that are not on-link, which allows remote attackers to cause a denial of service  and may cause information leakage by obtaining potentially sensitive  information from the responding device via port-5353 UDP packets.  NOTE: this may overlap CVE-2015-2809. ## Remediation There is no fixed version for `Debian:9` `avahi`.",low
['CVE-2021-26720']," `avahi` package.   avahi-daemon-check-dns.sh in the Debian avahi package through 0.8-4 is executed as root via /etc/network/if-up.d/avahi-daemon, and allows a local attacker to cause a denial of service or create arbitrary empty files via a symlink attack on files under /run/avahi-daemon. NOTE: this only affects the packaging for Debian GNU/Linux , not the upstream Avahi product. ## Remediation There is no fixed version for `Debian:9` `avahi`.",high
['CVE-2021-3468']," `avahi` package.   A flaw was found in avahi in versions 0.6 up to 0.8. The event used to signal the termination of the client connection on the avahi Unix socket is not correctly handled in the client_work function, allowing a local attacker to trigger an infinite loop. The highest threat from this vulnerability is to the availability of the avahi service, which becomes unresponsive after this flaw is triggered. ## Remediation There is no fixed version for `Debian:9` `avahi`.",medium
['CVE-2017-6519']," `avahi` package.   avahi-daemon in Avahi through 0.6.32 and 0.7 inadvertently responds to IPv6 unicast queries with source addresses that are not on-link, which allows remote attackers to cause a denial of service  and may cause information leakage by obtaining potentially sensitive  information from the responding device via port-5353 UDP packets.  NOTE: this may overlap CVE-2015-2809. ## Remediation There is no fixed version for `Debian:9` `avahi`.",low
['CVE-2021-26720']," `avahi` package.   avahi-daemon-check-dns.sh in the Debian avahi package through 0.8-4 is executed as root via /etc/network/if-up.d/avahi-daemon, and allows a local attacker to cause a denial of service or create arbitrary empty files via a symlink attack on files under /run/avahi-daemon. NOTE: this only affects the packaging for Debian GNU/Linux , not the upstream Avahi product. ## Remediation There is no fixed version for `Debian:9` `avahi`.",high
['CVE-2021-3468']," `avahi` package.   A flaw was found in avahi in versions 0.6 up to 0.8. The event used to signal the termination of the client connection on the avahi Unix socket is not correctly handled in the client_work function, allowing a local attacker to trigger an infinite loop. The highest threat from this vulnerability is to the availability of the avahi service, which becomes unresponsive after this flaw is triggered. ## Remediation There is no fixed version for `Debian:9` `avahi`.",medium
['CVE-2017-6519']," `avahi` package.   avahi-daemon in Avahi through 0.6.32 and 0.7 inadvertently responds to IPv6 unicast queries with source addresses that are not on-link, which allows remote attackers to cause a denial of service  and may cause information leakage by obtaining potentially sensitive  information from the responding device via port-5353 UDP packets.  NOTE: this may overlap CVE-2015-2809. ## Remediation There is no fixed version for `Debian:9` `avahi`.",low
['CVE-2019-18276']," `bash` package.   An issue was discovered in disable_priv_mode in shell.c in GNU Bash through 5.0 patch 11. By default, if Bash is run with its effective UID not equal to its real UID, it will drop privileges by setting its effective UID to its real UID. However, it does so incorrectly. On Linux and other systems that support &#34;saved UID&#34; functionality, the saved UID is not dropped. An attacker with command execution in the shell can use &#34;enable -f&#34; for runtime loading of a new builtin, which can be a shared object that calls setuid and therefore regains privileges. However, binaries running with an effective UID of 0 are unaffected. ## Remediation There is no fixed version for `Debian:9` `bash`.",low
['CVE-2020-16590']," `binutils` package.   A double free vulnerability exists in the Binary File Descriptor   in GNU Binutils 2.35 in the process_symbol_table, as demonstrated in readelf, via a crafted file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-16591']," `binutils` package.   A Denial of Service vulnerability exists in the Binary File Descriptor  in GNU Binutils 2.35 due to an invalid read in process_symbol_table, as demonstrated in readeif. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-16592']," `binutils` package.   A use after free issue exists in the Binary File Descriptor  library  in GNU Binutils 2.34 in bfd_hash_lookup, as demonstrated in nm-new, that can cause a denial of service via a crafted file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-16593']," `binutils` package.   A Null Pointer Dereference vulnerability exists in the Binary File Descriptor  library , as distributed in GNU Binutils 2.35, in scan_unit_for_symbols, as demonstrated in addr2line, that can cause a denial of service via a crafted file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-16599']," `binutils` package.   A Null Pointer Dereference vulnerability exists in the Binary File Descriptor  library , as distributed in GNU Binutils 2.35, in _bfd_elf_get_symbol_version_string, as demonstrated in nm-new, that can cause a denial of service via a crafted file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-35448']," `binutils` package.   An issue was discovered in the Binary File Descriptor  library , as distributed in GNU Binutils 2.35.1. A heap-based buffer over-read can occur in bfd_getl_signed_32 in libbfd.c because sh_entsize is not validated in _bfd_elf_slurp_secondary_reloc_section in elf.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2020-35495'], `binutils` package.   There&#39;s a flaw in binutils /bfd/pef.c. An attacker who is able to submit a crafted input file to be processed by the objdump program could cause a null pointer dereference. The greatest threat from this flaw is to application availability. This flaw affects binutils versions prior to 2.34. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2020-35493'], `binutils` package.   A flaw exists in binutils in bfd/pef.c. An attacker who is able to submit a crafted PEF file to be parsed by objdump could cause a heap buffer overflow -&gt; out-of-bounds read that could lead to an impact to application availability. This flaw affects binutils versions prior to 2.34. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2020-35494'], `binutils` package.   There&#39;s a flaw in binutils /opcodes/tic4x-dis.c. An attacker who is able to submit a crafted input file to be processed by binutils could cause usage of uninitialized memory. The highest threat is to application availability with a lower threat to data confidentiality. This flaw affects binutils versions prior to 2.34. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2020-35496'], `binutils` package.   There&#39;s a flaw in bfd_pef_scan_start_address of bfd/pef.c in binutils which could allow an attacker who is able to submit a crafted file to be processed by objdump to cause a NULL pointer dereference. The greatest threat of this flaw is to application availability. This flaw affects binutils versions prior to 2.34. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2020-35507'], `binutils` package.   There&#39;s a flaw in bfd_pef_parse_function_stubs of bfd/pef.c in binutils in versions prior to 2.34 which could allow an attacker who is able to submit a crafted file to be processed by objdump to cause a NULL pointer dereference. The greatest threat of this flaw is to application availability. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2021-20197']," `binutils` package.   There is an open race window when writing output in the following utilities in GNU binutils version 2.35 and earlier:ar, objcopy, strip, ranlib. When these utilities are run as a privileged user , an unprivileged user can trick these utilities into getting ownership of arbitrary files through a symlink. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2021-20284']," `binutils` package.   A flaw was found in GNU Binutils 2.35.1, where there is a heap-based buffer overflow in _bfd_elf_slurp_secondary_reloc_section in elf.c due to the number of symbols not calculated correctly. The highest threat from this vulnerability is to system availability. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2021-20294']," `binutils` package.   A flaw was found in binutils readelf 2.35 program. An attacker who is able to convince a victim using readelf to read a crafted file could trigger a stack buffer overflow, out-of-bounds write of arbitrary data supplied by the attacker. The highest impact of this flaw is to confidentiality, integrity, and availability. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2021-3487']," `binutils` package.   There&#39;s a flaw in the BFD library of binutils in versions before 2.36. An attacker who supplies a crafted file to an application linked with BFD, and using the DWARF functionality, could cause an impact to system availability by way of excessive memory consumption. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2021-3530']," `binutils` package.   A flaw was discovered in GNU libiberty within demangle_path in rust-demangle.c, as distributed in GNU Binutils version 2.36. A crafted symbol can cause stack memory to be exhausted leading to a crash. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2021-3549'], `binutils` package.   An out of bounds flaw was found in GNU binutils objdump utility version 2.36. An attacker could use this flaw and pass a large section to avr_elf32_load_records_from_section probably resulting in a crash or in some cases memory corruption. The highest threat from this vulnerability is to integrity as well as system availability. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2021-3648'], `binutils` package.    ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2019-9073']," `binutils` package.   An issue was discovered in the Binary File Descriptor  library , as distributed in GNU Binutils 2.32. It is an attempted excessive memory allocation in _bfd_elf_slurp_version_tables in elf.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2019-9075']," `binutils` package.   An issue was discovered in the Binary File Descriptor  library , as distributed in GNU Binutils 2.32. It is a heap-based buffer overflow in _bfd_archive_64_bit_slurp_armap in archive64.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2019-9074']," `binutils` package.   An issue was discovered in the Binary File Descriptor  library , as distributed in GNU Binutils 2.32. It is an out-of-bounds read leading to a SEGV in bfd_getl32 in libbfd.c, when called from pex64_get_runtime_function in pei-x86_64.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2019-9077'], `binutils` package.   An issue was discovered in GNU Binutils 2.32. It is a heap-based buffer overflow in process_mips_specific in readelf.c via a malformed MIPS option section. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2019-9070']," `binutils` package.   An issue was discovered in GNU libiberty, as distributed in GNU Binutils 2.32. It is a heap-based buffer over-read in d_expression_1 in cp-demangle.c after many recursive calls. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2019-9071']," `binutils` package.   An issue was discovered in GNU libiberty, as distributed in GNU Binutils 2.32. It is a stack consumption issue in d_count_templates_scopes in cp-demangle.c after many recursive calls. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9044'], `binutils` package.   The print_symbol_for_build_attribute function in readelf.c in GNU Binutils 2017-04-12 allows remote attackers to cause a denial of service  via a crafted ELF file. ## Remediation There is no fixed version for `Debian:9` `binutils`.,low
['CVE-2017-9742']," `binutils` package.   The score_opcodes function in opcodes/score7-dis.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12455']," `binutils` package.   The evax_bfd_print_emh function in vms-alpha.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms alpha file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-9751']," `binutils` package.   opcodes/rl78-decode.opc in GNU Binutils 2.28 has an unbounded GETBYTE macro, which allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9038']," `binutils` package.   GNU Binutils 2.28 allows remote attackers to cause a denial of service  via a crafted ELF file, related to the byte_get_little_endian function in elfcomm.c, the get_unwind_section_word function in readelf.c, and ARM unwind information that contains invalid word offsets. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-14333']," `binutils` package.   The process_version_sections function in readelf.c in GNU Binutils 2.29 allows attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file with invalid values of ent.vn_next, during &#34;readelf -a&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-12457']," `binutils` package.   The bfd_make_section_with_flags function in section.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause a NULL dereference via a crafted file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-12799'], `binutils` package.   The elf_read_notesfunction in bfd/elf.c in GNU Binutils 2.29 allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file. ## Remediation There is no fixed version for `Debian:9` `binutils`.,high
['CVE-2017-12448']," `binutils` package.   The bfd_cache_close function in bfd/cache.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause a heap use after free and possibly achieve code execution via a crafted nested archive file. This issue occurs because incorrect functions are called during an attempt to release memory. The issue can be addressed by better input validation in the bfd_generic_archive_p function in bfd/archive.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-9746']," `binutils` package.   The disassemble_bytes function in objdump.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of rae insns printing for this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9752']," `binutils` package.   bfd/vms-alpha.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file in the _bfd_vms_get_value and _bfd_vms_slurp_etir functions during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9747']," `binutils` package.   The ieee_archive_p function in bfd/ieee.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. NOTE: this may be related to a compiler bug. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9043']," `binutils` package.   readelf.c in GNU Binutils 2017-04-12 has a &#34;shift exponent too large for type unsigned long&#34; issue, which might allow remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted ELF file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12451']," `binutils` package.   The _bfd_xcoff_read_ar_hdr function in bfd/coff-rs6000.c and bfd/coff64-rs6000.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds stack read via a crafted COFF image file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-9040']," `binutils` package.   GNU Binutils 2017-04-03 allows remote attackers to cause a denial of service , related to the process_mips_specific function in readelf.c, via a crafted ELF file that triggers a large memory-allocation attempt. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9748']," `binutils` package.   The ieee_object_p function in bfd/ieee.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. NOTE: this may be related to a compiler bug. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9745']," `binutils` package.   The _bfd_vms_slurp_etir function in bfd/vms-alpha.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12452']," `binutils` package.   The bfd_mach_o_i386_canonicalize_one_reloc function in bfd/mach-o-i386.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted mach-o file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-14130']," `binutils` package.   The _bfd_elf_parse_attributes function in elf-attrs.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service  via a crafted ELF file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9756']," `binutils` package.   The aarch64_ext_ldst_reglist function in opcodes/aarch64-dis.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9039']," `binutils` package.   GNU Binutils 2.28 allows remote attackers to cause a denial of service  via a crafted ELF file with many program headers, related to the get_program_headers function in readelf.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9750']," `binutils` package.   opcodes/rx-decode.opc in GNU Binutils 2.28 lacks bounds checks for certain scale arrays, which allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12450']," `binutils` package.   The alpha_vms_object_p function in bfd/vms-alpha.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap write and possibly achieve code execution via a crafted vms alpha file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-12453']," `binutils` package.   The _bfd_vms_slurp_eeom function in libbfd.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms alpha file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-12454']," `binutils` package.   The _bfd_vms_slurp_egsd function in bfd/vms-alpha.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an arbitrary memory read via a crafted vms alpha file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-9744']," `binutils` package.   The sh_elf_set_mach_from_flags function in bfd/elf32-sh.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2018-6323']," `binutils` package.   The elf_object_p function in elfcode.h in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29.1, has an unsigned integer overflow because bfd_size_type multiplication is not used. A crafted ELF file allows remote attackers to cause a denial of service  or possibly have unspecified other impact. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-13716']," `binutils` package.   The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service  via a crafted file, as demonstrated by a call from the Binary File Descriptor  library . ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12967']," `binutils` package.   The getsym function in tekhex.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service  via a malformed tekhex binary. ## Remediation There is no fixed version for `Debian:9` `binutils`.",medium
['CVE-2017-9041']," `binutils` package.   GNU Binutils 2.28 allows remote attackers to cause a denial of service  via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9755']," `binutils` package.   opcodes/i386-dis.c in GNU Binutils 2.28 does not consider the number of registers for bnd mode, which allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-12459']," `binutils` package.   The bfd_mach_o_read_symtab_strtab function in bfd/mach-o.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap write and possibly achieve code execution via a crafted mach-o file. ## Remediation There is no fixed version for `Debian:9` `binutils`.",high
['CVE-2017-9753']," `binutils` package.   The versados_mkobject function in bfd/versados.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, does not initialize a certain data structure, which allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
['CVE-2017-9754']," `binutils` package.   The process_otr function in bfd/versados.c in the Binary File Descriptor  library , as distributed in GNU Binutils 2.28, does not validate a certain offset, which allows remote attackers to cause a denial of service  or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during &#34;objdump -D&#34; execution. ## Remediation There is no fixed version for `Debian:9` `binutils`.",low
